,Unnamed: 0,ID,Name,latitude,longitude,Rating,Url
1,1,ChIJTY9XJVWq0kwRnMvu8FNaEiI,Kingston Culture & Recreation,44.2345972,-76.4840825,3.3,https://maps.google.com/?cid=2455124063441308572
2,2,ChIJu-l8HFuq0kwRYyKgQT6nPEI,Kingston Military Community Sports Centre,44.23669279999999,-76.4678875,4.5,https://maps.google.com/?cid=4772873590936707683
4,4,ChIJeT54L6mp0kwRXuhDtYthiX0,Narellan Pools Canada,44.2812132,-76.4981038,0.0,https://maps.google.com/?cid=9045868579219826782
15,15,ChIJrYONNlWq0kwR-MP95BN9p_k,Artillery Park Aquatic Centre,44.234333,-76.484601,4.5,https://maps.google.com/?cid=17989484760954422264
16,16,ChIJWRwwVpyr0kwRE-MbtiJwmJI,YMCA of Kingston,44.240246899999995,-76.5170943,4.3,https://maps.google.com/?cid=10563316220383978259
18,18,ChIJN8s9cWqr0kwRogLp6XJENw8,Beechgrove Complex Recreation Centre,44.21893439999999,-76.52094220000001,2.3,https://maps.google.com/?cid=1096420294629327522
19,19,ChIJD26wpQar0kwR8X7AfzpJHr0,Queen's Athletics & Recreation Centre (ARC),44.229206,-76.49426900000002,4.5,https://maps.google.com/?cid=13627410038069952241
21,21,ChIJq0Xvz4ms0kwREPxtrKWeSf0,Boys & Girls Club of Kingston & Area,44.2394149,-76.5462624,4.4,https://maps.google.com/?cid=18251293399295327248
24,24,ChIJof4l81Ss0kwREU6ytM6qZns,YMCA West,44.2464203,-76.5745732,4.2,https://maps.google.com/?cid=8891982319061192209
