,PCF,PS,lat,lon,PS_norm,PCF_norm
0,45.2730508418263,4.449511621564386,44.27709233339499,-76.64898517181628,10.00,9.46
1,47.87030323519341,1.2057865066520816,44.225396963684446,-76.48418217561208,2.71,10.00
2,45.71397081709597,3.2013506386267543,44.24240875256063,-76.61281978306246,7.19,9.55
3,47.24702816400575,3.14143533053785,44.251115828532484,-76.61054962985492,7.06,9.87
4,47.61313726200385,2.283373916376955,44.256327553857496,-76.57988671952766,5.13,9.95
5,45.713970816974225,4.044330094065747,44.24774046947152,-76.64017848397728,9.09,9.55
6,45.27305084186675,4.1655443508475765,44.274809644041035,-76.64004544223349,9.36,9.46
7,47.422545457137915,2.58539563636455,44.2314278392152,-76.59078737274434,5.81,9.91
8,47.24702816402747,2.657585745972901,44.25574505486897,-76.59372518864359,5.97,9.87
9,47.613137261996044,2.4703128148077287,44.254342356318396,-76.58737785808543,5.55,9.95
10,45.71397081698068,3.9385635358724485,44.24807874108704,-76.63673176528377,8.85,9.55
11,45.713970817004146,3.7531521446103224,44.2462647547635,-76.63076877194831,8.43,9.55
12,45.27305084183241,4.23837808994865,44.277554502600715,-76.64174033147589,9.53,9.46
13,45.71397081708071,3.3789365031615204,44.24680852761447,-76.61857754865588,7.59,9.55
14,45.71397081701564,3.7130906291856487,44.246341894059526,-76.6294650161842,8.34,9.55
15,45.71397081701636,3.6180485412444936,44.242941552312146,-76.62640709347149,8.13,9.55
16,45.713970817038934,3.4551891575339155,44.2468501461864,-76.62106044826234,7.77,9.55
17,47.24702816401002,3.027772763591684,44.25752810367827,-76.60590993013022,6.80,9.87
18,47.247028164023185,2.7728840544331734,44.256837021007414,-76.5974489907102,6.23,9.87
19,47.247028164021216,2.8758903388771704,44.256837021007414,-76.6009398416834,6.46,9.87
20,47.247028164023554,2.7548255981376606,44.25710564461836,-76.59677585865795,6.19,9.87
21,47.247028164009464,3.0895645800349,44.257572978560056,-76.60796575215055,6.94,9.87
22,47.6131372620012,2.334943757371392,44.2569875168777,-76.58168360060591,5.25,9.95
23,45.71397081702899,3.543143028264352,44.2451885135225,-76.62396299699138,7.96,9.55
24,47.613137262000436,2.3862158113168705,44.25594823188249,-76.58388415035577,5.36,9.95
25,47.24702816401361,2.9647603281788553,44.25595234459312,-76.60408208313947,6.66,9.87
26,45.27305084184035,4.2318956415048,44.27400100232649,-76.64248708860755,9.51,9.46
27,47.61313726199692,2.4246498354922106,44.253207448198964,-76.58590786989582,5.45,9.95
28,45.71397081701897,3.584597473260972,44.24508355735016,-76.62531291703279,8.06,9.55
29,47.247028164014075,2.9208903309771688,44.256718639534,-76.60247678221022,6.56,9.87
30,47.6131372620036,2.284440060762152,44.255322064256205,-76.58017138354742,5.13,9.95
31,47.61313726199662,2.452966027707527,44.251232171582245,-76.58727992222398,5.51,9.95
32,47.24702816401581,2.8931923629115506,44.256718639534,-76.60154535119797,6.50,9.87
33,47.247028164013635,2.9463522624187886,44.25218944333869,-76.60400679800789,6.62,9.87
34,45.71397081702326,3.5543069852467877,44.24508355735016,-76.62432768937506,7.99,9.55
35,45.713970817075534,3.4118671837537704,44.24645083819652,-76.61966179398088,7.67,9.55
36,45.71397081703991,3.4181364318909644,44.24165160970126,-76.61987879692,7.68,9.55
37,45.71397081706857,3.4176703608498773,44.2451885135225,-76.61987879692,7.68,9.55
38,47.422545457137915,2.58539563636455,44.2314278392152,-76.59078737274434,5.81,9.91
39,45.71397081706857,3.4176703608498773,44.2451885135225,-76.61987879692,7.68,9.55
40,45.27305084183241,4.23837808994865,44.277554502600715,-76.64174033147589,9.53,9.46
