,PCF,PS,lat,lon,PS_norm,PCF_norm
0,47.87030323520493,0.5143426306274352,44.22849749434143,-76.49040443836084,5.92,10.00
1,45.27305084181347,0.8682144854163955,44.277985320341685,-76.64982594366295,10.00,9.46
2,45.2730508418555,0.793578736620006,44.27800616721397,-76.64007382676387,9.14,9.46
3,46.35189028753167,0.7877498876920751,44.257331311380284,-76.45003121743818,9.07,9.68
4,47.870303235194136,0.575476187038562,44.2304241937828,-76.47846532126691,6.63,10.00
5,47.1408441302462,0.5904407998285712,44.24747842047765,-76.47581308284366,6.80,9.85
6,47.14084413021891,0.6644765202084846,44.2405740991176,-76.46537878068395,7.65,9.85
7,46.48632820748741,0.6825597666079547,44.247926774510795,-76.46307427420174,7.86,9.71
8,47.87030323519559,0.5601417505906039,44.23030704315925,-76.4808775548909,6.45,10.00
9,46.48632820746391,0.7264129680895453,44.26721294640597,-76.4604323425205,8.37,9.71
10,47.87030323519948,0.5193471380794861,44.230560209490825,-76.4881691043083,5.98,10.00
11,46.35189028754717,0.7788532420719374,44.24847283748436,-76.45045188176213,8.97,9.68
12,45.27305084182479,0.8326408027510268,44.27544129655707,-76.64575535685461,9.59,9.46
13,46.4863282074434,0.7606912664973753,44.27391329064949,-76.45764987072393,8.76,9.71
14,45.273050841823874,0.8662218090054385,44.27680726723601,-76.64982594366295,9.98,9.46
15,45.273050841841155,0.827452107539313,44.27279730166177,-76.6455963819105,9.53,9.46
16,46.48632820744498,0.7604791810090046,44.27382429189707,-76.45764987072393,8.76,9.71
17,46.486328207470564,0.7059345714090274,44.26508558780623,-76.46274562786638,8.13,9.71
18,47.14084413022971,0.6321603375701522,44.24194966142469,-76.46963968089214,7.28,9.85
19,47.140844130243906,0.6038262230548963,44.24585978788843,-76.4737179376263,6.95,9.85
20,47.14084413024074,0.6144209089545652,44.247118120899025,-76.47233107294892,7.08,9.85
21,47.14084413022578,0.6570807867169262,44.24521260744205,-76.4663520707032,7.57,9.85
22,46.48632820747206,0.6966830906700854,44.265716829168326,-76.4642400988984,8.02,9.71
23,47.14084413022814,0.6462035588313789,44.248238070665124,-76.46801638525122,7.44,9.85
24,46.486328207475054,0.6894888430391469,44.26721294640597,-76.46572169041134,7.94,9.71
25,47.1408441302263,0.6472171011698646,44.2414610524009,-76.46763123229572,7.45,9.85
26,47.1408441302373,0.6217540180200697,44.24675539342113,-76.47127020041873,7.16,9.85
27,47.140844130240325,0.6216785434562484,44.247092589963366,-76.47130982078674,7.16,9.85
28,46.48632820747661,0.684295101119078,44.248454219009595,-76.46287659997985,7.88,9.71
29,46.35189028754051,0.7823769538527017,44.24881344560227,-76.45000671096331,9.01,9.68
30,45.27305084183996,0.8286821970996084,44.27279730166177,-76.64575535685461,9.54,9.46
31,46.35189028754703,0.7812144963574771,44.24828442791982,-76.4501397888307,9.00,9.68
32,47.87030323520049,0.5185353392129202,44.2309239470119,-76.48814083135106,5.97,10.00
33,47.870303235201135,0.5166817425334298,44.230861935657025,-76.48851658876234,5.95,10.00
34,47.87030323520077,0.5167769970437829,44.230861935657025,-76.48849877826702,5.95,10.00
35,46.48632820748146,0.6827708395115606,44.24826041614962,-76.46306749714367,7.86,9.71
36,46.351890287546254,0.7817586113290016,44.24828442791982,-76.45006928208409,9.00,9.68
37,47.14084413022777,0.6462864906105146,44.24748202307633,-76.46794262115438,7.44,9.85
38,46.48632820748369,0.6826058504317563,44.248025037355724,-76.46307427420174,7.86,9.71
