,Unnamed: 0,ID,Name,latitude,longitude,Rating,Url
0,0,ChIJ6S3favqs0kwR7c01sBUWTz0,Reid's Dairy,44.23697,-76.57061100000001,4.6,https://maps.google.com/?cid=4417774041880186349
1,1,ChIJO2tvUAer0kwRYwDm1MvXI7U,Dairy Queen,44.2333392,-76.49222979999998,3.9,https://maps.google.com/?cid=13052513415500005475
3,3,ChIJcVG3uPus0kwRHXB0jcIb_bU,Dairy Queen Grill & Chill,44.23775879999999,-76.56878739999998,3.8,https://maps.google.com/?cid=13113668212383576093
4,4,ChIJX2fdntSt0kwRBPmSAA5fzAQ,Tony Furusi,44.2753932,-76.5650199,0.0,https://maps.google.com/?cid=345755785144498436
5,5,ChIJiyUauKWt0kwREFQv3IpwNoQ,The Silly Yak,44.275802500000005,-76.5740689,4.8,https://maps.google.com/?cid=9526925803450749968
6,6,ChIJvToQuPiq0kwRQqdpN7KlZVs,Marble Slab Creamery,44.231336799999994,-76.479563,4.1,https://maps.google.com/?cid=6585852214951651138
7,7,ChIJjzH7Q0es0kwRo4HnuW9cHkw,Marble Slab Creamery,44.2587205,-76.55519799999998,4.6,https://maps.google.com/?cid=5484923031113925027
9,9,ChIJbcX7Yn-u0kwRVOs0HLIM63o,Canada Royal Milk,44.2747631,-76.5588843,2.5,https://maps.google.com/?cid=8857187051271154516
