,PCF,PS,lat,lon,PS_norm,PCF_norm
0,47.992996891907225,1.0802278767016444,44.23528834816646,-76.52870711072586,3.25,10.00
1,45.273050841793626,3.3229639460508733,44.279774577409825,-76.64999004207154,10.00,9.43
2,47.870303235194285,1.7602435165985308,44.230013001215475,-76.47994492535197,5.30,9.97
3,47.87030323520498,1.5698073130262449,44.22852108361753,-76.49040068130513,4.72,9.97
4,46.48632820748609,2.130004812400268,44.24791505157351,-76.4627483288957,6.41,9.69
5,46.48632820743136,2.6604356668235907,44.279705150464274,-76.45048022565838,8.01,9.69
6,47.24702816400332,2.1228485382822186,44.25923089019569,-76.6101833973744,6.39,9.84
7,45.713970816998916,2.663463783483677,44.237610998786366,-76.63005393031244,8.02,9.53
8,47.24702816402448,1.8245630355670135,44.25683870386848,-76.59940962464137,5.49,9.84
9,47.99299689190678,1.1240050231059056,44.231129783672124,-76.5278452462915,3.38,10.00
10,45.273050841878074,2.901353836148646,44.27314131560804,-76.63606305815033,8.73,9.43
11,45.71397081696757,2.8685374544558435,44.24368174851893,-76.6380617628136,8.63,9.53
12,46.4863282074538,2.369399072685421,44.27099905635102,-76.4586573697259,7.13,9.69
13,46.48632820746047,2.15993748806819,44.26153367006679,-76.46391942075215,6.50,9.69
14,46.48632820744418,2.4866876176424126,44.276715567196895,-76.45625656816135,7.48,9.69
15,45.27305084186518,3.0183466392482616,44.276173311332904,-76.63959678801655,9.08,9.43
16,46.486328207443506,2.564453544588306,44.276524754709456,-76.45299740633203,7.72,9.69
17,47.247028164012114,1.9907433833847485,44.256918367584205,-76.60562386514542,5.99,9.84
18,47.24702816401169,2.1016075236460168,44.2571000703079,-76.60971644676027,6.32,9.84
19,46.48632820744425,2.416220805027744,44.27370544276362,-76.45784143110917,7.27,9.69
20,45.27305084182664,3.244270256156509,44.27620883158947,-76.64805501449159,9.76,9.43
21,45.27305084183134,3.1831913359931394,44.27489610915194,-76.64612564367248,9.58,9.43
22,47.247028164015994,1.868022566867797,44.251935340406675,-76.60155072164147,5.62,9.84
23,47.24702816401554,1.9542052564141337,44.252952633111825,-76.60468766844524,5.88,9.84
24,45.2730508418398,3.1488253363435885,44.27489610915194,-76.64484386788618,9.48,9.43
25,45.71397081697494,2.8161824763484877,44.24270999419991,-76.63610752912426,8.47,9.53
26,45.27305084184197,3.0938576864573237,44.27461645263615,-76.64286606585719,9.31,9.43
27,46.48632820744219,2.61632078486531,44.27801143240904,-76.45152939571372,7.87,9.69
28,45.713970816980606,2.786107124415509,44.24270999419991,-76.63501593844575,8.38,9.53
29,45.273050841825345,3.2838022080513745,44.27461645263615,-76.64994053501273,9.88,9.43
30,45.71397081698733,2.6641374012540746,44.2439596192899,-76.63066022736474,8.02,9.53
31,45.71397081698471,2.7111661672446523,44.247843672040915,-76.6324854238047,8.16,9.53
32,46.486328207447656,2.374431488848185,44.27217590341821,-76.45891707035629,7.15,9.69
33,45.71397081698251,2.7502009839147252,44.2439596192899,-76.63378528334665,8.28,9.53
34,45.27305084185723,3.043876604446786,44.276173311332904,-76.64055736814817,9.16,9.43
35,47.99299689190713,1.0808278169559842,44.23521663611847,-76.52870711072586,3.25,10.00
36,45.71397081698389,2.7409048095857274,44.24672618688288,-76.63354742991442,8.25,9.53
37,47.24702816402446,1.8378719497191363,44.256904212026996,-76.59990112275158,5.53,9.84
38,45.27305084184265,3.0684064010324796,44.27669819116786,-76.64132644985244,9.23,9.43
39,47.247028164020925,1.8592644524621285,44.25607449387917,-76.6008264428755,5.60,9.84
40,46.48632820746288,2.1564566002532386,44.261024225312006,-76.46391942075215,6.49,9.69
41,45.713970816984606,2.7116023185775875,44.24672618688288,-76.6324854238047,8.16,9.53
42,47.247028164013166,1.9734511820437877,44.25727785546011,-76.6049272344541,5.94,9.84
43,46.486328207440174,2.6383294292140453,44.2778642521082,-76.45057421723526,7.94,9.69
44,45.27305084185158,3.0633276490328414,44.27715830541496,-76.64099843600529,9.22,9.43
45,45.273050841823874,3.29971229092433,44.27677259746141,-76.64997239987808,9.93,9.43
46,47.24702816401354,1.9615211944292088,44.25576022364863,-76.60468766844524,5.90,9.84
47,47.24702816400364,2.115538714456555,44.2545438914933,-76.610519160902,6.37,9.84
48,46.486328207435776,2.650406671406224,44.27899650163566,-76.45057421723526,7.98,9.69
49,46.4863282074382,2.641878368072538,44.27757440780299,-76.45030825835495,7.95,9.69
