,PCF,PS,lat,lon,PS_norm,PCF_norm
0,45.27305084180081,1.3198070372130468,44.27996079039497,-76.64976013918508,10.00,9.43
1,47.9929968919072,0.3478018267411232,44.236107470745445,-76.53180502685942,2.64,10.00
2,45.71397081709927,0.9286691417060892,44.2481248420081,-76.61141962858363,7.04,9.53
3,47.247028164004185,0.9247773190808419,44.25400565670375,-76.61028578805846,7.01,9.84
4,47.61313726200574,0.6757782215480452,44.258038539596846,-76.58018725755998,5.12,9.92
5,47.992996891905115,0.354906061714113,44.23204599123206,-76.53258049601891,2.69,10.00
6,45.27305084186645,1.2086422161395742,44.276427975556516,-76.63781314738779,9.16,9.43
7,45.71397081695542,1.1883675224930264,44.24918337735042,-76.64053122640091,9.00,9.53
8,47.24702816402672,0.8001880785382955,44.252696212224876,-76.59627987207651,6.06,9.84
9,47.42254545714194,0.7604457693244085,44.23845472520263,-76.59268201542999,5.76,9.88
10,47.422545457134724,0.7943767964298021,44.23321589838654,-76.59612996532105,6.02,9.88
11,47.61313726199741,0.7327541063774742,44.25133598107966,-76.58877392332393,5.55,9.92
12,45.71397081702703,1.0535626214282707,44.24721866192755,-76.62553567252317,7.98,9.53
13,45.71397081697494,1.1484336782103222,44.24256298952386,-76.6363552226646,8.70,9.53
14,45.71397081701971,1.0969886920070053,44.24721866192755,-76.63041028404751,8.31,9.53
15,47.24702816401267,0.8948036050817673,44.251580094303186,-76.6072245558076,6.78,9.84
16,45.71397081697419,1.1875615765007046,44.24781313143729,-76.64053122640091,9.00,9.53
17,45.713970817038685,1.0177565520458312,44.247160525339964,-76.62151707077136,7.71,9.53
18,47.247028164025195,0.8343171559678616,44.25705443852656,-76.59935414515779,6.32,9.84
19,45.27305084183018,1.278969563990896,44.27462461258733,-76.64651225968066,9.69,9.43
20,45.27305084182634,1.3029641253300832,44.27562041190138,-76.64902729293735,9.87,9.43
21,45.27305084184836,1.2379003865779221,44.27875852021929,-76.64053122640091,9.38,9.43
22,47.422545457136735,0.7647181822465547,44.23341870152922,-76.59274395265061,5.79,9.88
23,45.713970817080586,0.9691876638826592,44.24306461076016,-76.61624869214772,7.34,9.53
24,47.24702816401063,0.9245189473032289,44.2562399761617,-76.60988562543376,7.00,9.84
25,47.613137262001956,0.6924851774030292,44.25840592183919,-76.58214245089272,5.25,9.92
26,45.71397081706483,0.995498546665364,44.24503749106405,-76.61913389484111,7.54,9.53
27,45.2730508418398,1.2643777204770257,44.27492565898517,-76.64473950101076,9.58,9.43
28,45.27305084184197,1.2413238817813717,44.274278392023376,-76.64223898068994,9.41,9.43
29,45.71397081707635,0.9896575661260357,44.24744093875032,-76.61833907877116,7.50,9.53
30,47.24702816401585,0.8720353141962833,44.252727575399184,-76.60447762672058,6.61,9.84
31,47.61313726199937,0.7117251141085501,44.25606438271461,-76.58522795350187,5.39,9.92
32,47.24702816401496,0.8815883301973101,44.252696212224876,-76.60556933527134,6.68,9.84
33,45.7139708169761,1.1414604938444848,44.24263331257136,-76.63557323371347,8.65,9.53
34,45.71397081698774,1.1134927072712182,44.24716855889338,-76.63226484018139,8.44,9.53
35,45.713970817029235,1.0333174689014126,44.24527008362592,-76.62336914805057,7.83,9.53
36,47.247028164017436,0.8557856736544327,44.2525495972302,-76.60265389546497,6.48,9.84
37,45.71397081698251,1.126688931832914,44.244200737104954,-76.63387929128406,8.54,9.53
38,47.61313726199769,0.729738010958952,44.253863300462704,-76.58791526784714,5.53,9.92
39,47.613137262000365,0.7040134160965293,44.255897915886834,-76.58435199350656,5.33,9.92
40,45.71397081709362,0.9439951627653513,44.246509937088994,-76.61326460218375,7.15,9.53
41,45.713970817029875,1.0331965437636057,44.24496217543648,-76.62336914805057,7.83,9.53
42,45.71397081699354,1.0992387570199351,44.248797022915085,-76.63055619159422,8.33,9.53
43,45.713970817094044,0.929174925269951,44.246509937088994,-76.61159656624544,7.04,9.53
